59680.0, {'gneJ207': np.float32(-1.0848215)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59690.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
59700.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 2}, 
59710.0, {'gneJ207': np.float32(-0.1875)}, {'gneJ207': 3}, {'gneJ207': 5}, 
59720.0, {'gneJ207': np.float32(-0.53125)}, {'gneJ207': 6}, {'gneJ207': 10}, 
59730.0, {'gneJ207': np.float32(-1.0848215)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59740.0, {'gneJ207': np.float32(-1.6651785)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59750.0, {'gneJ207': np.float32(-2.2455356)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59760.0, {'gneJ207': np.float32(-2.825893)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59770.0, {'gneJ207': np.float32(-1.6116072)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59780.0, {'gneJ207': np.float32(-1.9910715)}, {'gneJ207': 4}, {'gneJ207': 10}, 
59790.0, {'gneJ207': np.float32(-0.34375)}, {'gneJ207': 1}, {'gneJ207': 2}, 
59800.0, {'gneJ207': np.float32(-0.5848214)}, {'gneJ207': 4}, {'gneJ207': 10}, 
59810.0, {'gneJ207': np.float32(-0.116071425)}, {'gneJ207': 1}, {'gneJ207': 3}, 
59820.0, {'gneJ207': np.float32(-0.32589287)}, {'gneJ207': 4}, {'gneJ207': 8}, 
59830.0, {'gneJ207': np.float32(-0.71428573)}, {'gneJ207': 6}, {'gneJ207': 13}, 
59840.0, {'gneJ207': np.float32(-0.39285713)}, {'gneJ207': 3}, {'gneJ207': 5}, 
59850.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
59860.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59870.0, {'gneJ207': np.float32(-0.20982143)}, {'gneJ207': 7}, {'gneJ207': 7}, 
59880.0, {'gneJ207': np.float32(-0.5223214)}, {'gneJ207': 9}, {'gneJ207': 9}, 
59890.0, {'gneJ207': np.float32(-0.54464287)}, {'gneJ207': 6}, {'gneJ207': 6}, 
59900.0, {'gneJ207': np.float32(-0.875)}, {'gneJ207': 6}, {'gneJ207': 9}, 
59910.0, {'gneJ207': np.float32(-1.4285715)}, {'gneJ207': 9}, {'gneJ207': 14}, 
59920.0, {'gneJ207': np.float32(-2.1651785)}, {'gneJ207': 9}, {'gneJ207': 18}, 
59930.0, {'gneJ207': np.float32(-1.7008928)}, {'gneJ207': 11}, {'gneJ207': 14}, 
59940.0, {'gneJ207': np.float32(-1.3616072)}, {'gneJ207': 9}, {'gneJ207': 9}, 
59950.0, {'gneJ207': np.float32(-1.0758928)}, {'gneJ207': 7}, {'gneJ207': 7}, 
59960.0, {'gneJ207': np.float32(-0.46875)}, {'gneJ207': 3}, {'gneJ207': 4}, 
59970.0, {'gneJ207': np.float32(-0.18303572)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59980.0, {'gneJ207': np.float32(-0.29017857)}, {'gneJ207': 5}, {'gneJ207': 5}, 
59990.0, {'gneJ207': np.float32(-0.17410715)}, {'gneJ207': 6}, {'gneJ207': 7}, 
60000.0, {'gneJ207': np.float32(-0.53125)}, {'gneJ207': 8}, {'gneJ207': 11}, 
60010.0, {'gneJ207': np.float32(-0.6785714)}, {'gneJ207': 8}, {'gneJ207': 10}, 
60020.0, {'gneJ207': np.float32(-1.2544643)}, {'gneJ207': 8}, {'gneJ207': 14}, 
60030.0, {'gneJ207': np.float32(-1.0357143)}, {'gneJ207': 8}, {'gneJ207': 8}, 
60040.0, {'gneJ207': np.float32(-1.5)}, {'gneJ207': 8}, {'gneJ207': 13}, 
60050.0, {'gneJ207': np.float32(-1.0223215)}, {'gneJ207': 9}, {'gneJ207': 10}, 
60060.0, {'gneJ207': np.float32(-0.8125)}, {'gneJ207': 7}, {'gneJ207': 7}, 
60070.0, {'gneJ207': np.float32(-0.32589287)}, {'gneJ207': 3}, {'gneJ207': 4}, 
60080.0, {'gneJ207': np.float32(-0.14732143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
60090.0, {'gneJ207': np.float32(-0.38392857)}, {'gneJ207': 3}, {'gneJ207': 10}, 
60100.0, {'gneJ207': np.float32(-0.36160713)}, {'gneJ207': 3}, {'gneJ207': 7}, 
60110.0, {'gneJ207': np.float32(-0.67410713)}, {'gneJ207': 3}, {'gneJ207': 7}, 
60120.0, {'gneJ207': np.float32(-0.12053572)}, {'gneJ207': 2}, {'gneJ207': 2}, 
60130.0, {'gneJ207': np.float32(-0.09821428)}, {'gneJ207': 1}, {'gneJ207': 2}, 
60140.0, {'gneJ207': np.float32(-0.16964285)}, {'gneJ207': 2}, {'gneJ207': 6}, 
60150.0, {'gneJ207': np.float32(-0.058035713)}, {'gneJ207': 2}, {'gneJ207': 2}, 
60160.0, {'gneJ207': np.float32(-0.0625)}, {'gneJ207': 1}, {'gneJ207': 3}, 
60170.0, {'gneJ207': np.float32(-0.36160713)}, {'gneJ207': 3}, {'gneJ207': 11}, 
60180.0, {'gneJ207': np.float32(-0.33035713)}, {'gneJ207': 4}, {'gneJ207': 8}, 
60190.0, {'gneJ207': np.float32(-0.058035713)}, {'gneJ207': 1}, {'gneJ207': 1}, 
60200.0, {'gneJ207': np.float32(-0.21428572)}, {'gneJ207': 2}, {'gneJ207': 5}, 
60210.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
60220.0, {'gneJ207': np.float32(-0.02232143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
60230.0, {'gneJ207': np.float32(-0.071428575)}, {'gneJ207': 1}, {'gneJ207': 2}, 
60240.0, {'gneJ207': np.float32(-0.20089285)}, {'gneJ207': 2}, {'gneJ207': 3}, 
60250.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
60260.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
60270.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 1}, {'gneJ207': 1}, 
